団体コード,都道府県名,団体名,財政力指数,経常収支比率,実質公債費比率,将来負担比率,ラスパイレス指数
011002,北海道,札幌市,0.71,95.4,2.9,18.2,99.4
012025,北海道,函館市,0.48,94.5,5.0,38.9,97.4
012033,北海道,小樽市,0.47,93.4,4.0,25.0,95.9
012041,北海道,旭川市,0.53,96.6,8.9,82.8,98.8
012050,北海道,室蘭市,0.62,95.3,10.4,55.7,98.0
012068,北海道,釧路市,0.45,94.8,10.4,42.8,99.4
012076,北海道,帯広市,0.60,89.4,8.2,22.2,99.0
012084,北海道,北見市,0.43,99.3,11.8,147.8,96.2
012092,北海道,夕張市,0.19,124.8,67.2,171.7,91.0
012106,北海道,岩見沢市,0.38,96.9,10.5,77.0,99.5
012114,北海道,網走市,0.44,94.1,16.1,112.9,97.1
012122,北海道,留萌市,0.31,94.9,9.2,-,96.0
012131,北海道,苫小牧市,0.75,89.4,7.7,71.9,98.2
012149,北海道,稚内市,0.39,92.5,10.7,32.8,94.9
012157,北海道,美唄市,0.26,94.8,11.0,74.2,97.2
012165,北海道,芦別市,0.25,95.6,5.7,65.4,94.0
012173,北海道,江別市,0.52,91.2,4.8,-,97.3
012181,北海道,赤平市,0.18,96.4,13.2,66.7,94.7
012190,北海道,紋別市,0.33,78.0,9.3,-,94.6
012203,北海道,士別市,0.25,96.2,14.3,98.3,97.5
012211,北海道,名寄市,0.27,96.2,9.9,9.3,100.0
012220,北海道,三笠市,0.19,93.8,10.8,25.7,96.8
012238,北海道,根室市,0.34,88.0,8.5,-,98.4
012246,北海道,千歳市,0.72,87.6,7.4,-,97.2
012254,北海道,滝川市,0.39,90.0,6.8,18.2,97.5
012262,北海道,砂川市,0.29,84.8,6.2,33.6,99.0
012271,北海道,歌志内市,0.10,92.8,8.7,-,96.2
012289,北海道,深川市,0.26,81.0,15.5,122.1,98.4
012297,北海道,富良野市,0.35,91.3,8.5,49.0,98.6
012301,北海道,登別市,0.46,96.2,10.4,54.8,96.9
012319,北海道,恵庭市,0.59,93.2,7.1,-,98.1
012335,北海道,伊達市,0.38,91.5,4.8,-,98.6
012343,北海道,北広島市,0.62,95.3,8.0,91.0,99.2
012351,北海道,石狩市,0.54,94.4,6.4,41.6,96.8
012360,北海道,北斗市,0.48,89.8,5.6,-,97.5
013030,北海道,当別町,0.36,91.2,9.6,28.6,97.5
013048,北海道,新篠津村,0.18,87.9,3.5,-,98.2
013315,北海道,松前町,0.18,86.0,7.5,10.5,97.6
013323,北海道,福島町,0.22,85.4,9.9,40.8,96.5
013331,北海道,知内町,0.27,79.9,8.3,-,96.6
013340,北海道,木古内町,0.20,88.9,14.5,60.6,95.3
013374,北海道,七飯町,0.45,89.4,7.6,7.1,98.0
013439,北海道,鹿部町,0.23,84.6,4.3,-,95.4
013455,北海道,森町,0.30,91.9,9.5,-,98.2
013463,北海道,八雲町,0.30,85.3,9.4,-,96.0
013471,北海道,長万部町,0.22,87.8,9.9,30.2,95.9
013617,北海道,江差町,0.25,91.6,12.3,44.8,97.7
013625,北海道,上ノ国町,0.16,86.4,9.6,-,97.5
013633,北海道,厚沢部町,0.16,79.9,7.1,-,92.3
013641,北海道,乙部町,0.13,68.1,6.7,-,95.9
013676,北海道,奥尻町,0.13,88.1,8.2,54.6,92.9
013706,北海道,今金町,0.19,79.3,8.3,-,95.6
013714,北海道,せたな町,0.17,86.0,8.4,-,94.2
013919,北海道,島牧村,0.08,87.6,6.6,17.0,97.4
013927,北海道,寿都町,0.14,83.1,13.4,-,98.4
013935,北海道,黒松内町,0.14,84.5,12.6,7.4,95.8
013943,北海道,蘭越町,0.18,83.0,10.6,-,92.5
013951,北海道,ニセコ町,0.29,87.9,4.2,37.9,95.8
013960,北海道,真狩村,0.15,89.9,9.4,42.1,94.9
013978,北海道,留寿都村,0.23,83.9,12.7,47.3,97.3
013986,北海道,喜茂別町,0.18,85.8,8.7,61.0,95.3
013994,北海道,京極町,0.63,78.0,8.0,-,96.7
014001,北海道,倶知安町,0.65,87.0,8.1,21.3,96.5
014010,北海道,共和町,0.23,89.9,8.8,-,96.5
014028,北海道,岩内町,0.29,92.2,12.5,83.4,96.6
014036,北海道,泊村,1.44,47.8,1.8,-,97.3
014044,北海道,神恵内村,0.10,84.4,5.1,7.7,97.9
014052,北海道,積丹町,0.11,88.6,9.6,13.5,99.3
014061,北海道,古平町,0.12,81.3,8.9,-,94.9
014079,北海道,仁木町,0.17,81.7,9.2,-,97.7
014087,北海道,余市町,0.33,89.7,5.4,13.9,97.6
014095,北海道,赤井川村,0.23,92.6,5.3,-,97.8
014231,北海道,南幌町,0.28,91.0,11.7,111.2,96.5
014249,北海道,奈井江町,0.23,87.2,9.1,81.0,96.2
014257,北海道,上砂川町,0.11,86.4,5.5,22.9,95.3
014273,北海道,由仁町,0.22,88.6,13.9,38.7,96.2
014281,北海道,長沼町,0.30,87.4,10.4,21.3,96.8
014290,北海道,栗山町,0.29,92.1,6.4,32.5,96.8
014303,北海道,月形町,0.15,87.2,4.5,-,97.4
014311,北海道,浦臼町,0.14,83.3,14.2,-,96.0
014320,北海道,新十津川町,0.18,80.7,6.3,-,95.9
014338,北海道,妹背牛町,0.16,74.1,6.0,-,98.6
014346,北海道,秩父別町,0.15,90.6,5.9,-,97.6
014362,北海道,雨竜町,0.15,88.0,7.6,-,96.6
014371,北海道,北竜町,0.12,90.4,10.7,-,99.5
014389,北海道,沼田町,0.15,82.0,0.2,-,95.5
014524,北海道,鷹栖町,0.27,81.0,6.2,5.1,97.3
014532,北海道,東神楽町,0.36,79.3,8.3,47.7,97.5
014541,北海道,当麻町,0.20,85.0,7.2,29.7,96.0
014559,北海道,比布町,0.17,93.0,6.8,6.7,95.4
014567,北海道,愛別町,0.15,89.8,7.8,-,95.3
