都道府県名,団体名,財政力指数,経常収支比率,実質公債費比率,将来負担比率,ラスパイレス指数
北海道,札幌市,0.71,95.4,2.9,18.2,99.4
青森県,青森市,0.55,92.1,11.3,79.7,96.3
岩手県,盛岡市,0.71,96.1,10.3,75.6,98.4
宮城県,仙台市,0.88,97.0,6.1,52.3,102.6
秋田県,秋田市,0.65,92.4,8.8,112.9,98.0
山形県,山形市,0.74,90.3,7.8,92.5,100.3
福島県,福島市,0.76,92.7,3.5,-,100.9
茨城県,水戸市,0.79,98.1,9.3,128.1,99.0
栃木県,宇都宮市,0.97,93.7,3.9,44.1,101.7
群馬県,前橋市,0.78,95.3,8.2,57.6,99.1
埼玉県,さいたま市,0.95,95.6,6.3,20.1,101.3
千葉県,千葉市,0.89,98.4,10.7,122.4,100.6
東京都,特別区,0.57,76.5,▲ 2.6,-,98.6
神奈川県,横浜市,0.94,98.1,9.5,127.2,100.0
新潟県,新潟市,0.65,94.2,12.1,123.0,99.0
富山県,富山市,0.80,92.9,8.8,84.2,100.1
石川県,金沢市,0.86,89.9,4.0,20.2,99.2
福井県,福井市,0.78,91.1,10.4,47.2,99.5
山梨県,甲府市,0.71,91.7,8.3,15.6,97.9
長野県,長野市,0.71,91.8,5.2,20.6,100.2
岐阜県,岐阜市,0.82,95.6,2.5,-,100.0
静岡県,静岡市,0.83,92.8,6.1,31.9,101.5
愛知県,名古屋市,0.97,99.9,6.4,83.0,98.8
三重県,津市,0.67,98.6,5.2,22.6,99.1
滋賀県,大津市,0.77,92.4,▲ 0.4,-,99.5
京都府,京都市,0.80,98.5,11.8,140.5,101.4
大阪府,大阪市,0.92,92.0,0.9,-,98.8
兵庫県,神戸市,0.76,97.6,4.9,62.6,100.1
奈良県,奈良市,0.70,96.9,9.8,81.7,98.9
和歌山県,和歌山市,0.77,95.9,9.5,84.9,99.3
鳥取県,鳥取市,0.50,88.7,8.8,65.0,96.9
島根県,松江市,0.56,93.1,9.5,63.3,98.4
岡山県,岡山市,0.74,90.0,5.6,-,101.1
広島県,広島市,0.78,98.7,9.6,165.4,99.9
山口県,山口市,0.62,95.4,6.1,72.1,99.9
徳島県,徳島市,0.77,96.6,5.7,31.9,99.1
香川県,高松市,0.77,93.3,6.4,68.1,100.2
愛媛県,松山市,0.74,89.6,7.8,20.3,98.8
高知県,高知市,0.63,97.9,12.9,153.1,98.9
福岡県,福岡市,0.87,94.1,8.0,66.9,101.7
佐賀県,佐賀市,0.63,95.1,2.4,-,98.4
長崎県,長崎市,0.57,97.9,10.4,96.0,97.5
熊本県,熊本市,0.69,93.0,5.5,92.9,99.8
大分県,大分市,0.86,97.3,5.9,41.1,100.8
宮崎県,宮崎市,0.69,94.3,7.5,20.9,98.3
鹿児島県,鹿児島市,0.70,92.7,4.7,32.0,99.3
沖縄県,那覇市,0.83,89.7,8.2,41.4,97.1
道府県庁所在市平均,,0.76,95.5,6.7,60.4,－
全国市町村平均,,0.48,93.1,5.6,6.3,－
